OrderID,CustomerID,OrderRegion,OrderDate,OrderAmount,ProductID,Quantity,TotalOrderValue
101,1,Yorkshire,2023-07-01,150.0,1001.0,1.0,150.0
102,2,Tyne & Wear,2023-07-03,350.0,1002.0,2.0,700.0
103,1,Yorkshire,2026-01-01,200.5,1001.0,4.0,802.0
104,3,London,2023-07-05,350.0,1000.0,4.0,1400.0
105,2,Tyne & Wear,2023-07-03,100.0,1003.0,1.0,100.0
106,1,Yorkshire,2023-07-01,150.0,1001.0,1.0,150.0
107,2,Tyne & Wear,2023-07-03,100.0,1003.0,1.0,100.0
108,1,Yorkshire,2026-01-01,50.0,1006.0,3.0,150.0
109,3,London,2023-07-05,970.0,1000.0,3.0,2910.0
110,2,Tyne & Wear,2023-07-23,350.0,1010.0,1.0,350.0
